Sepal_Length,Sepal_Width,Classe
6.1,2.8,Versicolor
5.7,3.8,Setosa
7.7,2.6,Virginica
6.0,2.9,Versicolor
6.8,2.8,Versicolor
5.4,3.4,Setosa
5.6,2.9,Versicolor
6.9,3.1,Virginica
6.2,2.2,Versicolor
5.8,2.7,Versicolor
6.5,3.2,Virginica
4.8,3.0,Setosa
5.5,3.5,Setosa
4.9,3.1,Setosa
5.1,3.8,Setosa
6.3,3.3,Versicolor
6.5,3.0,Virginica
5.6,2.5,Versicolor
5.7,2.8,Versicolor
6.4,2.8,Virginica
4.7,3.2,Setosa
6.1,3.0,Virginica
5.0,3.4,Setosa
6.4,2.8,Virginica
7.9,3.8,Virginica
6.7,3.0,Virginica
6.7,2.5,Virginica
6.8,3.2,Virginica
4.8,3.0,Setosa
4.8,3.1,Setosa
4.6,3.6,Setosa
5.7,4.4,Setosa
6.7,3.1,Versicolor
4.8,3.4,Setosa
4.4,3.2,Setosa
6.3,2.5,Virginica
6.4,3.2,Versicolor
5.2,3.5,Setosa
5.0,3.6,Setosa
5.2,4.1,Setosa
5.8,2.7,Virginica
6.0,3.4,Versicolor
6.7,3.1,Versicolor
5.4,3.9,Setosa
5.4,3.7,Setosa
5.5,2.4,Versicolor
6.3,2.8,Virginica
6.4,3.1,Virginica
6.6,3.0,Versicolor
7.2,3.6,Virginica
5.7,2.9,Versicolor
7.6,3.0,Virginica
5.6,3.0,Versicolor
5.1,3.5,Setosa
7.7,2.8,Virginica
5.8,2.7,Versicolor
5.2,3.4,Setosa
5.0,3.5,Setosa
5.1,3.8,Setosa
5.0,2.0,Versicolor
6.3,2.7,Virginica
4.8,3.4,Setosa
5.0,3.0,Setosa
5.1,3.3,Setosa
5.6,2.7,Versicolor
5.1,3.4,Setosa
5.7,3.0,Versicolor
7.7,3.8,Virginica
4.6,3.2,Setosa
6.2,2.9,Versicolor
5.7,2.5,Virginica
5.5,4.2,Setosa
6.0,3.0,Virginica
5.8,2.7,Virginica
6.0,2.2,Versicolor
5.4,3.0,Versicolor
6.2,3.4,Virginica
5.5,2.3,Versicolor
5.4,3.9,Setosa
5.0,2.3,Versicolor
6.4,2.7,Virginica
5.0,3.3,Setosa
5.0,3.2,Setosa
5.5,2.4,Versicolor
6.7,3.0,Versicolor
